Date,Price,Demand,Unit_Cost,Competitor_Price,Promotion,Holiday,Inventory
2023-03-19,90.34,1253,70.79,89.95,0,0,869
2023-03-20,99.96,1049,69.32,100.77,0,0,979
2023-03-21,93.42,1286,70.79,95.41,0,1,553
2023-03-22,96.29,927,68.71,94.7,0,0,971
2023-03-23,98.66,924,68.51,96.22,0,0,1060
2023-03-24,105.96,911,70.99,104.72,0,0,1422
2023-03-25,83.89,1272,71.04,87.45,0,0,956
2023-03-26,106.07,1033,71.0,107.01,0,0,914
2023-03-27,88.39,1058,69.08,88.02,0,0,1129
2023-03-28,89.08,1103,69.37,89.49,0,0,1053
2023-03-29,115.21,929,70.15,118.26,0,0,1348
2023-03-30,104.98,954,70.43,104.4,0,0,394
2023-03-31,98.64,919,68.03,97.41,0,0,720
2023-04-01,94.2,1111,71.59,93.11,0,0,631
2023-04-02,99.65,1398,71.59,101.24,0,1,638
2023-04-03,103.51,987,71.72,101.55,0,0,776
2023-04-04,94.67,1044,71.87,92.85,0,0,532
2023-04-05,89.33,1081,70.32,90.93,0,0,940
2023-04-06,100.33,1129,69.82,104.32,0,0,1206
2023-04-07,105.85,843,71.04,103.59,0,0,363
2023-04-08,92.77,1427,71.72,93.51,1,0,282
2023-04-09,101.28,1185,68.19,101.99,0,0,187
2023-04-10,104.47,1045,68.66,105.56,0,0,-17
2023-04-11,108.41,952,69.76,107.59,0,0,-27
2023-04-12,94.1,934,70.31,91.68,0,0,-58
2023-04-13,93.81,1099,71.76,94.38,0,0,311
2023-04-14,97.09,1422,69.98,98.05,1,0,99
2023-04-15,110.57,1005,71.51,111.37,0,0,50
2023-04-16,93.15,1124,70.16,88.0,0,0,352
2023-04-17,102.89,1015,69.01,106.64,0,0,159
2023-04-18,105.85,1112,69.85,106.21,0,0,529
2023-04-19,100.77,1296,70.79,102.22,1,0,410
2023-04-20,92.02,1008,68.28,91.36,0,0,202
2023-04-21,100.39,1082,70.37,102.58,0,0,36
2023-04-22,95.92,1031,70.41,95.5,0,0,14
2023-04-23,105.88,1060,70.35,105.8,0,0,-67
2023-04-24,89.29,1090,69.68,88.83,0,0,-202
2023-04-25,100.55,971,71.9,97.58,0,0,-14
2023-04-26,107.91,915,70.01,106.55,0,0,188
2023-04-27,95.98,1071,68.15,94.89,0,0,29
2023-04-28,81.38,1126,69.6,79.02,0,0,345
2023-04-29,90.15,1158,70.58,88.59,0,0,335
2023-04-30,94.59,1153,69.63,91.34,0,0,309
2023-05-01,100.69,953,68.71,100.43,0,0,233
2023-05-02,97.38,946,70.41,93.99,0,0,759
2023-05-03,102.28,893,69.69,99.78,0,0,1051
2023-05-04,94.29,1041,69.45,96.66,0,0,1309
2023-05-05,101.16,1070,71.94,99.21,0,0,1559
2023-05-06,80.51,1256,70.17,77.81,0,0,303
2023-05-07,100.13,1059,68.69,100.83,0,0,60
2023-05-08,103.86,997,69.62,107.48,0,0,-111
2023-05-09,111.34,850,70.66,114.48,0,0,472
2023-05-10,91.04,1097,69.69,91.78,0,0,545
2023-05-11,95.72,1032,69.15,92.91,0,0,410
2023-05-12,87.72,1059,69.59,84.21,0,0,394
2023-05-13,99.96,1046,70.39,98.64,0,0,763
2023-05-14,112.4,1010,69.74,113.82,0,0,1030
2023-05-15,106.9,877,71.85,105.71,0,0,1544
2023-05-16,100.31,1059,71.49,101.94,0,0,485
2023-05-17,96.82,1295,69.96,98.09,0,1,75
2023-05-18,101.45,1259,71.66,102.34,1,0,209
2023-05-19,109.5,858,70.58,104.08,0,0,281
2023-05-20,119.19,900,70.79,121.7,0,0,677
2023-05-21,114.3,1010,70.95,115.27,0,0,636
2023-05-22,106.97,964,71.96,108.25,0,0,500
2023-05-23,96.38,971,69.92,99.2,0,0,717
2023-05-24,87.69,1058,70.93,87.67,0,0,604
2023-05-25,86.46,1128,70.72,84.05,0,0,577
2023-05-26,98.5,984,70.4,98.31,0,0,702
2023-05-27,102.02,1125,68.92,106.93,0,0,893
2023-05-28,95.64,1058,68.23,94.89,0,0,850
2023-05-29,99.39,919,70.49,101.28,0,0,1365
2023-05-30,93.85,1099,68.52,94.42,0,0,1291
2023-05-31,87.76,1037,69.04,85.25,0,0,1646
2023-06-01,101.57,1337,68.25,101.66,1,0,309
2023-06-02,103.81,980,71.46,107.84,0,0,699
2023-06-03,103.83,1106,71.47,105.47,0,0,583
2023-06-04,93.5,1476,71.53,94.69,1,0,457
2023-06-05,104.47,1013,68.64,105.31,0,0,467
2023-06-06,98.26,964,70.24,97.07,0,0,757
2023-06-07,95.31,1020,70.17,95.12,0,0,814
2023-06-08,101.23,1027,68.27,102.05,0,0,608
2023-06-09,95.1,1027,70.48,93.98,0,0,413
2023-06-10,99.08,979,71.08,95.01,0,0,272
2023-06-11,84.61,1274,70.11,83.52,0,0,-119
2023-06-12,91.04,1098,71.8,92.78,0,0,-334
2023-06-13,104.43,983,69.59,106.23,0,0,6
2023-06-14,91.86,1186,70.17,96.99,0,0,-182
2023-06-15,82.63,1215,70.5,83.02,0,0,-392
2023-06-16,111.47,956,68.99,114.47,0,0,-48
2023-06-17,93.03,1161,69.08,91.76,0,0,-136
2023-06-18,93.44,1230,71.9,96.68,0,0,124
2023-06-19,103.28,890,68.42,103.27,0,0,275
2023-06-20,101.46,950,68.35,97.38,0,0,318
2023-06-21,94.88,1020,71.91,96.14,0,0,525
2023-06-22,101.93,958,70.83,100.33,0,0,736
2023-06-23,95.47,1095,71.74,95.76,0,0,823
2023-06-24,109.22,1011,69.81,109.62,0,0,623
2023-06-25,101.43,1046,68.99,99.37,0,0,683
2023-06-26,90.82,1030,70.17,93.22,0,0,659
2023-06-27,96.68,1052,69.03,98.86,0,0,810
2023-06-28,109.69,1073,71.07,111.2,0,0,786
2023-06-29,102.89,1255,70.9,105.05,1,0,701
2023-06-30,93.78,1056,69.54,91.05,0,0,544
2023-07-01,94.98,1316,71.64,93.88,1,0,580
2023-07-02,103.81,992,69.78,103.07,0,0,415
2023-07-03,102.23,1008,69.03,99.64,0,0,507
2023-07-04,94.63,1110,71.53,93.11,0,0,557
2023-07-05,95.87,990,69.72,97.17,0,0,650
2023-07-06,97.75,1033,71.38,101.9,0,0,750
2023-07-07,102.66,1011,68.23,104.12,0,0,736
2023-07-08,101.34,956,70.75,99.55,0,0,1006
2023-07-09,103.52,1077,69.96,101.78,0,0,1064
2023-07-10,100.45,1003,68.65,100.69,0,0,1355
2023-07-11,95.84,1363,68.71,97.58,1,0,905
2023-07-12,104.68,963,71.46,103.65,0,0,1395
2023-07-13,100.99,1172,69.58,99.45,0,1,1597
2023-07-14,99.55,1063,71.48,100.21,0,0,534
2023-07-15,102.49,1023,69.62,104.87,0,0,589
2023-07-16,109.03,953,68.48,108.51,0,0,578
2023-07-17,89.92,935,70.78,87.94,0,0,544
2023-07-18,101.19,1008,70.67,99.79,0,0,785
2023-07-19,97.73,906,69.92,94.95,0,0,721
2023-07-20,104.76,1285,70.87,105.91,1,0,286
2023-07-21,101.97,981,68.24,101.59,0,0,477
2023-07-22,93.08,1189,71.21,90.87,0,0,676
2023-07-23,105.41,1031,69.65,105.14,0,0,603
2023-07-24,95.79,1139,70.27,96.43,0,0,648
2023-07-25,99.47,977,69.49,97.47,0,0,747
2023-07-26,98.01,981,68.85,98.81,0,0,858
2023-07-27,95.15,1094,69.21,96.54,0,0,1239
2023-07-28,98.29,1105,68.61,96.03,0,0,1595
2023-07-29,86.75,1330,68.09,89.2,0,0,1654
2023-07-30,96.17,1152,68.57,96.5,0,0,502
2023-07-31,113.28,897,69.78,115.37,0,0,692
2023-08-01,97.35,936,68.34,96.94,0,0,980
2023-08-02,95.02,1060,70.47,97.5,0,0,879
2023-08-03,107.22,1030,70.6,107.44,0,0,820
2023-08-04,91.53,1123,70.65,94.88,0,0,938
2023-08-05,93.07,1131,70.14,94.33,0,0,1254
2023-08-06,108.65,1244,71.18,106.47,1,0,1173
2023-08-07,105.41,942,68.37,103.1,0,0,1490
2023-08-08,107.01,875,71.13,104.87,0,0,615
2023-08-09,100.61,1045,69.22,102.03,0,0,788
2023-08-10,117.45,970,71.15,120.83,0,0,1178
2023-08-11,100.57,993,69.52,100.37,0,0,1510
2023-08-12,104.2,995,68.32,101.82,0,0,515
2023-08-13,100.35,1149,71.29,100.69,0,0,275
2023-08-14,105.72,1211,71.59,104.69,1,0,516
2023-08-15,95.73,1029,68.1,95.36,0,0,894
2023-08-16,100.38,1003,70.38,101.83,0,0,820
2023-08-17,93.23,1094,68.25,94.06,0,0,982
2023-08-18,97.64,1031,69.72,96.22,0,0,1359
2023-08-19,101.12,1130,71.26,101.13,0,0,1259
2023-08-20,116.02,1010,70.9,115.15,0,0,1203
2023-08-21,108.45,878,70.93,107.82,0,0,325
2023-08-22,81.86,1133,68.08,83.59,0,0,56
2023-08-23,106.55,914,70.52,105.56,0,0,438
2023-08-24,96.95,1047,70.19,99.34,0,0,736
2023-08-25,108.18,973,69.9,106.45,0,0,959
2023-08-26,98.53,1355,68.53,99.11,1,0,963
2023-08-27,104.75,1399,68.15,103.77,1,0,563
2023-08-28,108.5,948,68.91,108.25,0,0,863
2023-08-29,95.77,997,68.15,95.62,0,0,682
2023-08-30,100.66,1028,71.83,99.06,0,0,852
2023-08-31,92.46,987,70.2,88.9,0,0,1032
2023-09-01,98.99,999,71.87,100.98,0,0,1393
2023-09-02,93.97,1351,68.28,92.21,1,0,1517
2023-09-03,104.81,1124,69.17,104.92,0,0,393
2023-09-04,103.77,969,68.51,105.92,0,0,347
2023-09-05,91.03,1250,69.55,90.01,1,0,331
2023-09-06,102.15,1055,69.14,103.78,0,0,736
2023-09-07,94.3,1163,71.91,95.04,0,0,628
2023-09-08,102.28,1031,71.75,102.34,0,0,679
2023-09-09,95.44,1084,71.86,93.05,0,0,815
2023-09-10,101.69,1157,69.19,106.89,0,0,585
2023-09-11,106.3,919,69.74,106.71,0,0,980
2023-09-12,109.02,846,68.82,108.17,0,0,1045
2023-09-13,103.11,947,71.14,102.84,0,0,1106
2023-09-14,105.42,933,71.03,107.66,0,0,1595
2023-09-15,100.04,1047,69.79,101.22,0,0,548
2023-09-16,111.77,923,68.01,110.27,0,0,950
2023-09-17,117.91,916,70.89,117.47,0,0,1369
2023-09-18,107.17,1025,69.08,108.36,0,0,344
2023-09-19,95.46,1146,70.83,95.64,0,0,180
2023-09-20,93.86,1122,69.49,95.42,0,0,-25
2023-09-21,106.18,926,70.57,109.9,0,0,407
2023-09-22,97.39,977,70.29,99.57,0,0,848
2023-09-23,91.78,1160,68.1,90.72,0,0,913
2023-09-24,97.12,1221,69.51,98.18,0,0,847
2023-09-25,99.28,1016,68.53,99.69,0,0,943
2023-09-26,96.75,1185,69.6,96.06,1,0,827
2023-09-27,93.32,1041,69.0,95.15,0,0,1141
2023-09-28,101.22,897,68.19,100.88,0,0,1562
2023-09-29,92.33,1044,68.35,93.9,0,0,518
2023-09-30,98.19,1152,71.31,100.04,0,0,746
2023-10-01,99.97,1291,70.62,100.56,0,1,638
2023-10-02,94.24,1188,70.74,93.91,0,1,292
2023-10-03,90.22,1211,68.27,90.98,0,0,457
2023-10-04,92.33,1023,70.66,91.89,0,0,912
2023-10-05,107.83,930,70.18,107.87,0,0,1024
2023-10-06,95.6,1073,69.03,96.8,0,0,1126
2023-10-07,111.37,974,68.51,109.42,0,0,1631
2023-10-08,106.18,1086,70.15,106.02,0,0,545
2023-10-09,103.54,929,69.52,103.77,0,0,579
2023-10-10,93.4,880,70.57,91.15,0,0,952
2023-10-11,107.44,1185,71.17,109.11,1,0,606
2023-10-12,117.81,859,68.13,118.18,0,0,912
2023-10-13,106.61,987,68.33,106.99,0,0,1299
2023-10-14,92.6,1357,70.9,92.52,0,1,872
2023-10-15,94.59,1223,70.11,95.75,0,0,924
2023-10-16,101.9,1081,70.16,102.51,0,0,1099
2023-10-17,99.17,1036,69.43,101.76,0,0,1139
2023-10-18,95.81,1004,71.62,99.09,0,0,1596
2023-10-19,114.1,931,70.95,114.96,0,0,665
2023-10-20,96.58,1083,69.26,97.17,0,0,382
2023-10-21,92.95,1096,71.35,94.69,0,0,228
2023-10-22,107.2,1056,71.75,104.57,0,0,181
2023-10-23,107.77,858,70.6,107.01,0,0,623
2023-10-24,84.79,1143,71.91,86.48,0,0,362
2023-10-25,102.95,1260,71.89,104.03,0,1,-36
2023-10-26,114.29,895,70.13,116.17,0,0,544
2023-10-27,98.03,971,68.39,94.26,0,0,706
2023-10-28,106.65,1092,71.57,110.07,0,0,1083
2023-10-29,95.45,1155,69.72,97.15,0,0,1031
2023-10-30,102.43,1059,68.46,104.76,0,0,1251
2023-10-31,103.51,975,70.29,98.1,0,0,1634
2023-11-01,97.28,1062,68.66,95.51,0,0,572
2023-11-02,98.1,1004,70.56,96.48,0,0,946
2023-11-03,102.97,974,70.4,103.26,0,0,1436
2023-11-04,101.36,1343,68.01,101.57,1,0,1254
2023-11-05,90.16,1160,70.44,89.99,0,0,1195
2023-11-06,100.05,1044,68.2,100.65,0,0,1268
2023-11-07,96.44,1004,69.11,96.21,0,0,1634
2023-11-08,109.31,1135,70.03,109.27,0,1,499
2023-11-09,97.21,1005,69.58,95.9,0,0,561
2023-11-10,103.56,1190,70.7,105.66,1,0,323
2023-11-11,96.62,1102,69.03,96.91,0,0,693
2023-11-12,102.4,1049,69.82,100.62,0,0,775
2023-11-13,98.43,1040,71.77,97.13,0,0,800
2023-11-14,87.86,1047,70.01,87.26,0,0,1157
2023-11-15,100.41,961,68.57,98.92,0,0,1352
2023-11-16,86.83,1111,68.49,82.91,0,0,1317
2023-11-17,95.48,1053,70.69,99.03,0,0,1514
2023-11-18,110.03,1047,69.8,113.02,0,0,467
2023-11-19,99.45,1069,70.1,98.76,0,0,390
2023-11-20,100.91,914,71.79,101.37,0,0,754
2023-11-21,103.05,1019,68.41,105.7,0,0,1020
2023-11-22,108.11,926,69.82,106.49,0,0,1336
2023-11-23,92.2,998,68.4,92.4,0,0,338
2023-11-24,89.84,987,69.25,89.76,0,0,699
2023-11-25,99.35,1112,71.55,99.81,0,0,495
2023-11-26,103.13,1023,71.88,108.4,0,0,614
2023-11-27,87.39,1001,69.04,86.3,0,0,712
2023-11-28,93.94,1231,71.32,91.46,0,1,391
2023-11-29,96.35,1117,71.13,97.48,0,0,238
2023-11-30,95.56,1062,70.92,95.73,0,0,39
2023-12-01,111.65,949,69.41,114.77,0,0,406
2023-12-02,111.4,1240,71.18,112.64,1,0,112
2023-12-03,93.63,1410,71.02,93.69,0,0,-283
2023-12-04,91.29,1112,69.76,92.77,0,0,-514
2023-12-05,114.77,812,70.37,112.43,0,0,48
2023-12-06,94.44,918,71.53,95.63,0,0,43
2023-12-07,113.7,822,70.89,113.22,0,0,214
2023-12-08,90.34,1446,69.33,90.76,0,1,-63
2023-12-09,106.67,1080,69.18,107.7,0,0,205
2023-12-10,105.01,1115,68.02,105.37,0,0,424
2023-12-11,94.26,974,69.63,94.21,0,0,437
2023-12-12,97.84,1003,70.31,96.41,0,0,591
2023-12-13,88.75,1049,68.93,87.22,0,0,368
2023-12-14,104.91,1003,68.09,107.21,0,0,697
2023-12-15,97.15,985,71.04,94.38,0,0,995
2023-12-16,107.63,1019,70.5,108.05,0,0,828
2023-12-17,101.66,1137,70.08,104.4,0,0,780
2023-12-18,87.62,1074,68.54,86.57,0,0,746
2023-12-19,95.62,1110,69.1,95.65,0,0,592
2023-12-20,93.93,1025,71.72,93.59,0,0,818
2023-12-21,101.84,1264,69.74,102.23,1,0,985
2023-12-22,113.87,836,70.7,113.04,0,0,1484
2023-12-23,92.61,1170,68.42,94.73,0,0,314
2023-12-24,96.85,1115,71.83,91.18,0,0,225
2023-12-25,96.44,978,71.07,96.14,0,0,375
2023-12-26,103.38,1068,71.48,105.06,0,0,268
2023-12-27,104.71,1128,68.5,104.38,0,1,377
2023-12-28,97.62,1077,70.32,99.62,0,0,152
2023-12-29,92.42,1046,71.64,94.0,0,0,87
2023-12-30,108.37,1057,69.07,109.6,0,0,-52
2023-12-31,105.01,1368,70.09,106.45,1,0,-487
2024-01-01,101.35,898,69.74,98.94,0,0,52
2024-01-02,112.4,952,70.65,116.08,0,0,124
2024-01-03,113.61,836,70.42,111.74,0,0,576
2024-01-04,101.05,1029,69.89,102.32,0,0,977
2024-01-05,100.18,1300,71.14,100.22,1,0,709
2024-01-06,104.64,951,70.48,102.91,0,0,1018
2024-01-07,93.42,1234,71.24,90.82,0,0,632
2024-01-08,98.94,1097,70.9,99.77,0,0,339
2024-01-09,107.8,877,69.99,104.42,0,0,383
2024-01-10,96.29,943,69.1,96.74,0,0,242
2024-01-11,110.73,875,68.66,107.88,0,0,497
2024-01-12,103.14,1155,68.97,103.88,1,0,742
2024-01-13,103.24,991,71.68,102.23,0,0,1170
2024-01-14,102.98,1072,71.03,103.02,0,0,1324
2024-01-15,105.82,923,70.67,106.28,0,0,401
2024-01-16,104.33,978,68.91,103.92,0,0,678
2024-01-17,96.84,954,71.23,95.15,0,0,696
2024-01-18,97.49,1384,69.59,96.19,1,1,740
2024-01-19,88.78,1022,68.13,88.61,0,0,1202
2024-01-20,102.85,1024,69.43,99.69,0,0,1018
2024-01-21,93.32,1480,68.16,92.51,1,0,988
2024-01-22,86.47,1192,69.31,89.85,0,0,749
2024-01-23,98.93,1018,71.57,101.75,0,0,1158
2024-01-24,95.41,936,69.18,93.82,0,0,1292
2024-01-25,109.7,891,71.52,107.89,0,0,401
2024-01-26,106.3,949,69.41,107.79,0,0,879
2024-01-27,99.66,1167,69.7,101.04,0,1,902
2024-01-28,106.96,1068,68.21,106.63,0,0,802
2024-01-29,109.36,867,71.39,105.91,0,0,1145
2024-01-30,95.68,1299,69.35,94.93,1,0,955
2024-01-31,94.74,1022,70.36,93.54,0,0,1175
2024-02-01,100.93,986,69.08,97.43,0,0,1099
2024-02-02,98.98,990,70.86,98.21,0,0,989
2024-02-03,107.57,1350,69.85,109.56,1,0,1031
2024-02-04,102.95,1064,68.12,104.23,0,0,1327
2024-02-05,103.2,1026,71.79,106.55,0,0,301
2024-02-06,96.26,995,70.94,95.67,0,0,375
2024-02-07,100.38,936,70.82,106.23,0,0,574
2024-02-08,95.42,1040,71.45,96.4,0,0,888
2024-02-09,92.18,1066,71.49,90.16,0,0,1072
2024-02-10,90.44,1204,71.4,90.49,0,0,780
2024-02-11,99.62,1145,68.77,99.14,0,0,503
2024-02-12,98.7,1026,68.27,97.29,0,0,473
2024-02-13,101.15,993,71.14,101.07,0,0,756
2024-02-14,104.63,1067,68.41,102.7,0,1,706
2024-02-15,102.83,1062,68.41,102.75,0,1,911
2024-02-16,101.68,877,69.69,99.46,0,0,1178
2024-02-17,105.2,1003,70.2,107.93,0,0,1469
2024-02-18,102.41,1051,71.81,101.32,0,0,418
2024-02-19,90.9,1463,68.06,92.56,1,0,314
2024-02-20,107.1,923,70.33,103.8,0,0,785
2024-02-21,98.5,1030,70.35,99.05,0,0,622
2024-02-22,99.7,1036,71.75,101.1,0,0,431
2024-02-23,103.95,899,71.91,101.91,0,0,838
2024-02-24,99.01,1138,68.34,99.71,0,0,747
2024-02-25,101.85,1127,70.68,98.8,0,0,530
2024-02-26,103.59,901,70.95,102.19,0,0,489
2024-02-27,90.15,1087,70.39,89.41,0,0,840
2024-02-28,97.67,1088,71.29,97.82,0,0,1154
2024-02-29,94.66,1227,69.48,94.74,1,0,1420
2024-03-01,101.99,1002,71.44,103.99,0,0,418
2024-03-02,120.0,946,68.58,119.89,0,0,969
2024-03-03,100.0,1043,68.09,100.05,0,0,932
2024-03-04,106.85,919,68.05,104.84,0,0,833
2024-03-05,92.97,1118,70.99,94.59,0,0,643
2024-03-06,92.4,1083,70.06,90.75,0,0,512
2024-03-07,96.73,1027,71.31,97.96,0,0,461
2024-03-08,104.95,998,71.51,104.97,0,0,924
2024-03-09,120.0,945,70.09,120.57,0,0,1192
2024-03-10,114.4,911,68.64,112.14,0,0,1125
2024-03-11,105.21,1073,68.66,105.43,0,0,1489
2024-03-12,95.03,937,68.42,92.51,0,0,552
2024-03-13,104.2,911,68.23,101.44,0,0,1024
2024-03-14,99.73,1109,71.02,100.17,0,0,1068
2024-03-15,96.38,1109,69.65,97.04,0,0,1191
2024-03-16,105.3,1272,69.76,105.28,1,0,1169
2024-03-17,97.03,1127,68.82,91.66,0,0,1378
2024-03-18,93.65,1101,71.54,97.07,0,0,1149
2024-03-19,104.04,1016,70.14,104.78,0,0,1562
2024-03-20,98.33,1002,68.73,101.19,0,0,560
2024-03-21,99.56,1019,69.55,99.01,0,0,456
2024-03-22,95.75,1008,69.5,96.17,0,0,941
2024-03-23,95.18,1202,70.92,98.27,0,0,660
2024-03-24,104.07,1127,69.52,103.66,0,0,814
2024-03-25,90.28,1050,71.09,88.81,0,0,931
2024-03-26,105.26,1056,70.07,106.51,0,0,1257
2024-03-27,104.89,857,70.65,102.59,0,0,400
2024-03-28,91.17,1059,71.1,95.15,0,0,585
2024-03-29,107.43,883,70.87,105.73,0,0,887
2024-03-30,105.95,952,70.03,105.64,0,0,1392
2024-03-31,110.63,941,71.83,113.73,0,0,451
2024-04-01,94.31,1125,70.11,95.78,0,0,711
2024-04-02,91.0,1139,70.65,92.1,0,0,711
2024-04-03,105.18,960,68.6,106.81,0,0,1158
2024-04-04,89.05,1059,68.97,87.97,0,0,954
2024-04-05,100.48,978,70.94,97.62,0,0,957
2024-04-06,97.32,1195,70.83,98.52,0,0,912
2024-04-07,99.32,1111,68.52,98.31,0,0,1108
2024-04-08,110.02,1010,70.62,111.26,0,0,1104
2024-04-09,98.57,1007,71.75,98.58,0,0,1437
2024-04-10,98.82,1014,71.03,102.36,0,0,423
2024-04-11,104.93,1020,71.72,105.25,0,0,216
2024-04-12,106.2,954,68.21,110.11,0,0,532
2024-04-13,101.41,1326,68.22,102.71,0,1,69
2024-04-14,94.76,1110,71.24,92.09,0,0,-149
2024-04-15,98.75,1001,69.82,96.21,0,0,-338
2024-04-16,100.94,1236,68.61,97.63,1,0,-625
2024-04-17,97.34,1368,68.92,97.7,1,0,-675
2024-04-18,92.45,1065,70.01,94.88,0,0,-762
2024-04-19,102.02,987,69.86,102.17,0,0,-319
2024-04-20,98.62,1142,69.58,100.08,0,0,-564
2024-04-21,98.76,1004,69.07,95.66,0,0,-409
2024-04-22,96.76,1024,68.83,94.25,0,0,-94
2024-04-23,109.58,877,68.25,107.3,0,0,211
2024-04-24,93.51,1006,71.95,92.53,0,0,306
2024-04-25,97.48,976,70.32,98.08,0,0,575
2024-04-26,105.47,983,71.5,106.1,0,0,572
2024-04-27,91.7,1144,70.9,87.06,0,0,498
2024-04-28,102.58,1071,68.18,102.93,0,0,444
2024-04-29,99.66,952,70.97,96.85,0,0,518
2024-04-30,107.25,936,71.2,108.0,0,0,869
2024-05-01,101.83,970,70.32,99.32,0,0,1370
2024-05-02,89.38,1105,69.12,89.85,0,0,1470
2024-05-03,109.67,936,70.24,113.42,0,0,534
2024-05-04,105.17,1308,70.92,101.47,1,0,312
2024-05-05,102.86,1077,69.0,102.24,0,0,310
2024-05-06,102.63,908,69.51,101.1,0,0,259
2024-05-07,100.99,1066,71.7,102.14,0,0,503
2024-05-08,110.63,925,70.39,112.97,0,0,1038
2024-05-09,100.92,942,68.91,100.11,0,0,1279
2024-05-10,102.2,1035,68.14,98.03,0,0,1141
2024-05-11,95.47,1133,69.86,93.22,0,0,849
